id_family_datalake,question_name,time_first,time_last
4.10.8.2022.633980R_2CfaN6rPg5IovXX,Garbage,0,3
4.17.3.2022.514928R_1ffPUNISjggrDAJ,AverageHealth,0,2
1.15.3.2022.361715R_2txxhkI9AVTB98w,AverageCitizenship,0,2
1.23.3.2022.608700R_2QSNrtxNXJ5D73t,CategoriaCulture,0,3
4.08.2023.123465R_3MzLsDoRLbMUgf0,AverageEnvironment,0,3
2.16.12.2021.200122R_vc2rwudTQwrhT3P,CategoriaSchooling,1,3
4.20.7.2022.423738R_1JDFjtFD4ZxbYo4,Sewer,0,3
1.23.3.2022.907386R_1EKeA4z8mJ828oN,Sewer,0,2
1.23.2.2022.600840R_3lFZdkN8KFg0yJv,JobSatisfaction,0,3
1.24.3.2022.163423R_1ltPVj70ZbrflkB,CategoriaCitizenship,0,2
1.22.3.2022.168682R_1jTm53Io24vFxr5,AverageEnvironment,0,3
2.18.7.2021.718447R_111516,HowManyPHHH,0,0
1.23.2.2022.286306R_2qq3B4c4wNYtAxa,CategoriaFirstInfancy,1,3
1.23.3.2022.906848R_R4ufdXejL6sINUZ,IncomeWorkS3,0,2
4.08.2023.80136R_3oRCz1DsZOFjaMN,Access,0,3
3.02.2023.206441R_BJmuWHQmcSr10HL,Sewer,0,3
4.1.8.2022.537690R_1dF6vItZ45vBTcX,Walls,0,3
1.16.3.2022.324788R_1pYCwdifcuLrVjz,AverageEnvironment,0,2
4.11.2023.238493R_3Ryp0AwyoAottpx,Walls,0,3
3.23.5.2022.201241R_0NXkLSmM7Tg4373,AverageEnvironment,0,2
1.23.11.2021.699146R_27NCJPfYvWfRQTb,AverageSchooling,1,3
1.3.7.2021.694871R_859172,Walls,0,2
4.20.9.2022.176515R_3qV7YOa6HkOJUPC,WaterFrequency,0,3
4.5.4.2022.835039R_2q1x8bsRWFb1tCo,SchoolMathLit,0,2
3.02.2023.183437R_73AZyYVtBDNII5b,AverageEnvironment,0,3
1.22.2.2022.860984R_1d4E0tCyF5ahMFb,SchoolCurrent,0,3
3.07.2023.22609R_2WByNAs488Thm3J,CategoriaHealth,0,3
3.03.2023.115378R_2aQvNntYPLEdD1v,CategoriaWomanAutonomy,0,2
2.5.4.2022.681658R_10pXwumXy70pseA,Internet,0,3
1.3.7.2021.642734R_516990,Internet,0,3
3.02.2023.395044R_2vZCBeS7jaVr2yu,CategoriaSchooling,0,3
2.29.1.2022.384139R_33fDShYVz18HzF6,CategoriaEnvironment,0,3
3.5.9.2022.600187R_2WIjDbpYIpMrEkX,HealthKids,0,2
2.29.3.2022.482450R_24l8FjR04GP3fUE,Documents,0,3
4.17.3.2022.514928R_1ffPUNISjggrDAJ,Race,0,0
3.03.2023.440420R_3eeP8Pift2EhAy0,BathroomQualit,0,2
4.07.2023.13341R_25LcQXlEpiAusnU,FoodManytimes,0,3
1.3.7.2021.903563R_457810,CategoriaIncome,0,2
1.23.3.2022.505122R_vSH8j2mZmmLs6RP,Water,0,2
1.22.3.2022.339887R_1F8s6rWojsQHbIy,CategoriaIncome,0,3
3.03.2023.477336R_1f6G0fpOFuCQiOQ,Bathroom,0,2
3.02.2023.395044R_2vZCBeS7jaVr2yu,Income,0,3
1.22.3.2022.567049R_1d01JzLs5ja7sLt,Gender,0,0
3.02.2023.218899R_2wFgBw6ii9lhMTP,AverageHealth,0,2
1.23.3.2022.870359R_24HL1AcMBStZkNS,Garbage,0,2
1.15.3.2022.361715R_2txxhkI9AVTB98w,SchoolMathLit,0,2
4.15.7.2022.401167R_aWD9MaUdSzNRkd3,JobSatisfaction,0,2
2.17.2.2022.787939R_277OVaEycdD0RD8,HousingProblems,0,3
2.16.2.2022.197524R_2DN5Lc8g3pYFhyY,IncomeWorkS3,1,3
3.13.11.2021.513032R_7PT8DeHdOSENwrL,Sewer,0,2
1.15.3.2022.191630R_8iu9ZQta2L72Eo1,SchoolLast,0,2
1.1.7.2021.710921R_118195,Water,0,2
3.14.9.2022.632152R_1DRPNGpa6wsE0Ib,Eletricity,0,2
3.07.2023.151386R_3mkSzF46MBo6XrO,Garbage,0,3
2.4.2.2022.563793R_2AG8C3pWHkF2RYD,HousingProblems,0,2
4.20.7.2022.555020R_3mAiERWJEJarSkF,CulturalEvent,0,2
2.16.12.2021.200122R_vc2rwudTQwrhT3P,SchoolMathLit,1,3
1.1.7.2021.480354R_120678,HousingProblems,0,2
3.02.2023.119304R_29fYpFk2MOyXwnh,Access,0,2
1.15.3.2022.147339R_1FEXOr2MtRmhic3,HealthKids,1,3
1.1.7.2021.333192R_694402,AverageSchooling,0,2
4.07.2023.13341R_25LcQXlEpiAusnU,Eletricity,0,3
4.20.9.2022.472302R_3fE0DacBEEDa3py,CategoriaWomanAutonomy,0,3
4.30.6.2022.711471R_1mgudqbzdwjE0zC,CategoriaCitizenship,0,2
3.5.11.2021.573424R_Y9METrcJZYPXYEV,AverageEnvironment,0,2
3.02.2023.186904R_Rq8dsW7pxE0MmNb,AverageSchooling,0,3
1.23.3.2022.802331R_1E3S8pImTluJv2H,AverageEnvironment,1,3
3.02.2023.369859R_1LRPE8LbjbET4Hy,IncomeDesc,0,2
1.1.7.2021.677647R_320903,SchoolLiteracy,0,3
3.02.2023.180937R_2WUdBcvlHzgxUhr,CategoriaCitizenship,0,3
1..7.2021.338743R_311770,Water,0,3
3.02.2023.81722R_3nMbyl3SrBD05Ah,Garbage,0,3
2.8.2.2022.875854R_1Ca2PNaixIFQXyF,AverageCitizenship,1,3
2.29.1.2022.384139R_33fDShYVz18HzF6,Roof,0,3
3.11.11.2021.664181R_26hdmpqu1uvoeDM,HousingProblems,0,2
1.22.3.2022.352916R_5BYdBYFfAJdUWQ1,CategoriaIncome,0,2
2.10.7.2021.472807R_616372,Eletricity,0,3
2.25.1.2022.256212R_10HFkNvtNpGFf7I,AverageHousing,1,3
3.19.9.2022.458054R_1hSj79SdcHtN2ns,CategoriaWomanAutonomy,0,2
2.01.2023.224263R_2CvmWK5TwbSZU4X,HowManyPHHH,0,0
4.08.2023.144605R_3kAL4mBwql3XlVr,Internet,0,3
1.21.10.2021.959147R_sC1wDK4FPlEzHYR,CategoriaWomanAutonomy,0,3
2.8.2.2022.875854R_1Ca2PNaixIFQXyF,Water,1,3
2.1.4.2022.710778R_1hydlIGtuIaMaLC,CategoriaSchooling,0,3
1.24.11.2021.187519R_114Q5s8eLstnqtT,CategoriaFirstInfancy,1,3
2.27.1.2022.165404R_1YBNUaT9EcRbmBH,BankAccount,0,3
1.22.3.2022.564274R_1BXygVh4kgrxEOt,DreamsKids,0,3
1.22.3.2022.564274R_1BXygVh4kgrxEOt,SchoolCurrent,0,3
4.11.7.2022.865692R_D7xKRh0XX5BezD3,DreamsKids,0,3
1.23.3.2022.295760R_25TROFtRp8o5TRq,Eletricity,0,2
3.8.6.2022.778144R_2b47gcS4Zbvh1Tt,Race,0,0
4.19.7.2022.770219R_1jJ2NX3ESvAJfMO,SchoolLast,0,3
4.10.8.2022.164084R_1F8oXrVydOF916g,AverageCulture,0,3
3.03.2023.472402R_2CwghnrTdbIBzwx,Bathroom,0,3
4.21.7.2022.544468R_6zhpkwtI9CnysKd,AverageIGF,0,2
1.24.2.2022.971473R_3O8hyMqvg16Cobp,AverageHousing,0,2
1.18.3.2022.818693R_1cUhRXAOhDo7aTd,AverageSchooling,0,2
2.15.1.2022.194638R_1OuAGcrrxv5NKzU,CategoriaSchooling,0,3
2.29.1.2022.439359R_1IKIcTbe7ZMBGXw,CategoriaSchooling,1,3
4.11.7.2022.221060R_2Qs8SGZ9RrBU5KE,Health,0,3
4.6.7.2022.918612R_01J3AfbX1jX3Fg5,Race,0,0
4.21.3.2022.957010R_12MwmOJwfLeL7kJ,SchoolLiteracy,0,3
2.12.2.2022.621667R_1mEmcuMrXLjn6tk,JobSatisfaction,0,3
3.07.2023.29188R_1d9XDuuefH3xAmC,CategoriaEnvironment,0,3
3.13.11.2021.195345R_VX8wg1p267NVI7D,CategoriaCitizenship,0,3
3.10.11.2021.389067R_1dLAuBqrTmHn5tp,Floor,0,3
4.20.7.2022.555020R_3mAiERWJEJarSkF,CategoriaIGF,0,2
3.03.2023.295117R_2xyMNz4TqAPGpCH,WaterFrequency,0,3
1.21.10.2021.959147R_sC1wDK4FPlEzHYR,IncomeDesc,0,3
3.12.11.2021.592174R_Dw4Dq6cVX85XQwF,WaterFrequency,0,2
2.11.7.2021.417452R_964375,Race,0,0
3.07.2023.225023R_2Vyg8wHpEFafZ1P,Eletricity,0,3
4.25.8.2022.337020R_1KxLFzkjN7JWJWM,Roof,0,3
1.1.7.2021.480354R_120678,AverageEnvironment,0,2
3.11.11.2021.267045R_1eKykLkUhWn8D9s,Access,0,2
4.13.7.2022.732202R_1DoQNcFvV7mUnZp,AverageWomanAutonomy,0,3
1.22.3.2022.832903R_2c1JsXS8W3ePc9u,AverageEnvironment,0,2
4.5.8.2022.882332R_2P5U44UnGmr5FFz,CategoriaHealth,0,2
1.4.3.2022.885189R_1j9OyZOpPz9VOQu,AverageWomanAutonomy,0,3
3.07.2023.490189R_uqRgWQAZuiUM9Ud,DreamsKids,0,3
3.03.2023.115378R_2aQvNntYPLEdD1v,Walls,0,2
3.03.2023.477336R_1f6G0fpOFuCQiOQ,FoodManytimes,0,2
3.13.11.2021.127765R_yCMZN9Z8V41u665,JobSatisfaction,0,3
4.13.12.2021.699040R_1CqNPZDtXxRYxBB,CategoriaIGF,0,3
3.22.6.2022.811810R_2qren094UrMTNgn,CategoriaIncome,0,2
4.5.4.2022.835039R_2q1x8bsRWFb1tCo,CommFacilities,0,2
1.3.7.2021.151688R_868597,CategoriaSchooling,0,2
3.16.11.2021.427370R_3QMhd6ktSbgEDsw,CategoriaSchooling,0,2
4.30.6.2022.872165R_1116HRksqWM418I,CategoriaFirstInfancy,0,2
3.13.11.2021.127765R_yCMZN9Z8V41u665,DreamsKids,0,3
4.1.8.2022.218237R_6fbstqd1iVg64nL,HealthKids,0,2
4.10.8.2022.633980R_2CfaN6rPg5IovXX,SchoolMathLit,0,3
4.19.9.2022.953029R_1et9m1yQsW93gOn,AverageEnvironment,0,3
1.3.7.2021.694871R_859172,Bathroom,0,2
2.6.3.2022.810034R_1mCdcADFaTzBFDq,IncomeDesc,0,2
2.27.1.2022.650654R_3nc2QKtjDS49v6l,CommFacilities,0,3
3.02.2023.81722R_3nMbyl3SrBD05Ah,AverageCitizenship,0,3
2.1.2.2022.361598R_2aUzyrxL3XzEU1A,SchoolCurrent,0,3
2.10.3.2022.264997R_3PmE8Wn3k6sjcOb,Water,1,3
4.08.2023.439756R_3M9yxFQ2fUX5M0a,Income,0,3
1.3.7.2021.889525R_311514,Floor,0,3
3.13.9.2022.376760R_C9wRCX0hqqzoUPn,Gender,0,0
4.19.9.2022.470621R_1dKbew4bz6WmNoi,BathroomQualit,0,3
4.6.7.2022.630052R_1cSn7xI4D3xI79U,Garbage,0,3
1.24.2.2022.443166R_2U2XwjtnTvtdHWH,Race,0,0
4.21.7.2022.544468R_6zhpkwtI9CnysKd,CulturalEvent,0,2
2.28.1.2022.741757R_1LbwKdX8uDMLOUL,HousingProblems,0,3
1.4.3.2022.301018R_3nixFj4QlkglGeY,BathroomQualit,0,3
3.02.2023.332930R_21neDpP88moAgkN,WaterFrequency,0,3
2.18.2.2022.953324R_1Du3xojSSGCHe8y,SchoolLiteracy,0,2
4.7.7.2022.984717R_QcDDikH4Gjwjmvv,CategoriaFirstInfancy,0,2
1.15.3.2022.262467R_3QPJxsWpCYM8crb,SchoolLast,0,2
3.02.2023.210367R_1g6iwQQVE547cDc,Walls,0,3
3.11.11.2021.664181R_26hdmpqu1uvoeDM,AverageWomanAutonomy,0,2
3.07.2023.157888R_290ryAQ44aiEfJi,CategoriaCitizenship,0,2
3.16.9.2022.778810R_07EtdLMZf8ZBBND,Health,0,2
4.10.11.2021.830452R_2c88XgH1l0Vwwdf,Income,0,3
2.9.2.2022.628477R_2QlHmTk1Quy6lNE,Water,0,3
3.18.5.2022.815140R_2uwSIRMRhpbEkYO,HousingProblems,0,2
4.26.7.2022.180139R_1N9b1yvJDj69w3q,Internet,0,2
4.25.7.2022.744659R_1qTWl7KzDuSqLho,CategoriaWomanAutonomy,0,2
1.2.7.2021.644681R_973401,Race,0,0
4.7.7.2022.387007R_2pKMRVEJYpDJIrp,HowManyPHHH,0,0
2.10.3.2022.264997R_3PmE8Wn3k6sjcOb,IncomeDesc,0,3
2.4.2.2022.928114R_06SgJCaZj9qJ2W5,Income,0,3
1.3.7.2021.305094R_482113,Documents,0,3
1.3.7.2021.938571R_328893,CEP,0,3
2.01.2023.151081R_phKv5XoIn9IfGZH,JobSatisfaction,0,3
3.10.11.2021.683600R_2t9fZazJBLIHcXX,CategoriaIGF,0,2
1.23.3.2022.427240R_2lzkHPyRjeV2Y25,Bathroom,0,3
3.03.2023.479339R_3kcfH8UrenTF8eJ,Bathroom,0,3
4.26.7.2022.180139R_1N9b1yvJDj69w3q,SchoolCurrent,0,2
4.8.9.2022.452601R_28Ysf8zubzV18DF,Eletricity,0,3
1.3.7.2021.309424R_270983,IncomeDesc,0,2
3.02.2023.357568R_3oR6yO30uJzQMmi,AverageSchooling,0,3
1.24.2.2022.256136R_3iCKJgMfwkQUyVD,Roof,1,3
1.24.2.2022.738850R_3LcCTeP5azuvyvx,AverageHealth,1,3
3.03.2023.387970R_3sbHvudCiR9QLzt,AverageHealth,0,2
1.22.3.2022.165664R_3fSIGmKbLrpBB00,SchoolCurrent,0,2
2.3.3.2022.972654R_1dyHjSmnystGTgw,HowManyPHHH,0,0
2.14.1.2022.572145R_1i8PM90GFaHC9Gx,CategoriaEnvironment,1,3
4.14.7.2022.398930R_2VrRiEF7UYIK3rU,Health,0,3
3.02.2023.180937R_2WUdBcvlHzgxUhr,AverageFirstInfancy,0,3
4.8.8.2022.320071R_1cSwiwIF52eDX3r,CommFacilities,0,3
4.2.8.2022.989441R_1oAvmkT4BE2GtFR,AverageHealth,0,3
4.1.8.2022.537690R_1dF6vItZ45vBTcX,HowManyPHHH,0,0
4.18.7.2022.984217R_2cisXlfhEZMhNoK,JobSatisfaction,0,3
2.4.2.2022.493236R_240nZ4lbnDbUHvw,CategoriaIGF,1,3
4.13.4.2022.774758R_1gN1nHaTmzXtFL7,CategoriaSchooling,0,3
3.07.2023.89923R_1GK6VOz3FUHSQ22,Garbage,0,3
4.20.10.2021.608189R_2Ww0S2emP2hCxDe,Garbage,0,3
2.9.2.2022.446234R_3P7FRQYKFVm6rje,HousingProblems,0,3
2.22.3.2022.603306R_1gT2ZQLhySlYTRf,Gender,0,0
1.22.3.2022.659071R_DOHaGOcPKNkyIjn,CommFacilities,0,3
2.24.3.2022.257990R_0N6PSwAnjUlUPMR,Sewer,0,3
3.03.2023.187448R_1IbjIvJIJQkVueU,CommFacilities,0,3
4.5.4.2022.835039R_2q1x8bsRWFb1tCo,Income,0,2
3.02.2023.180937R_2WUdBcvlHzgxUhr,CategoriaSchooling,0,3
1.17.3.2022.166214R_6Am5aFDvngt6m0V,AverageEnvironment,0,2
1.19.3.2022.737362R_1EgrxdfNHf5S45i,WaterFrequency,1,3
3.07.2023.157888R_290ryAQ44aiEfJi,Income,0,2
2.1.4.2022.742770R_30bZKBtMa3jFJpz,CommFacilities,0,3
4.07.2023.334943R_2wgz98LXq1rvNqs,IncomeDesc,0,3
1.3.7.2021.309424R_270983,CategoriaHousing,0,2
4.22.7.2022.297885R_117WofCp0urcrHb,CulturalEvent,0,3
2.14.1.2022.585043R_1GOfVDZ9fmwxyhd,Walls,0,3
